OBJECTID,crossing,Outlet_Water_Depth,Culvert_Shape,Circular?,bankfull_width,county,crossing_type,culvert_count,culvert_material,DRNAREA_SQ_Miles,headwater,Height_rise_P1,Pipe_length_P1,road_path_,scour_pool,scour_pool_depth,scour_pool_length,scour_pool_width,total_span,Width_Span_P1,Constriction_Ratio,x,y,Corrugated Metal?,Culvert_material_Thalweg,Concrete?,Pipe_length_Thalweg,Width_Span_Thalweg,Height_rise_Thalweg,Culvert_Slope,inlet_invert_Thalweg,outlet_invert_Thalweg
449,1211100CU003,3.34,Box,N,16.1,Cass,Culvert,1,Concrete,17.11,10.21,6,30,Cass County CR103,Yes,5,30,22,16,16,0.99378882,-94.62485048,46.48538631,N,Concrete,Y,30,16,6,0,13.59,13.59
455,1212200CU005,3.42,Box,N,15,Cass,Culvert,2,Concrete,7.45,10.52,6,90,Cass County CSAH1,Yes,4,30,20,20,10,0.666666667,-94.41595893,46.63135425,N,Concrete,Y,90,10,6,0.2,13.75,13.93
426,1211000CU003,4.2,Box,N,17,Cass,Culvert,2,Concrete,20.4,7.2,0,90,Cass County CSAH1,Yes,5,20,30,18,9,0.529411765,-94.45457383,46.48172036,N,Concrete,Y,90,9,0,N/A,N/A,N/A
8,1210302CU001,4.5,Box,N,7,Cass,Culvert,1,Concrete,3.86,9.81,5.5,110,Cass County CSAH1,No,0,0,0,7,7,1,-94.4811011,46.37361493,N,Concrete,Y,110,7,5.5,1.3,12.94,14.37
181,1200100CU003,N/A,Box,N,12,Wadena,Culvert,2,Concrete,46.59,N/A,6,40,Wadena County CR154,No,0,0,0,16,8,0.666666667,-94.79452382,46.73140112,N,Concrete,Y,40,4,4,N/A,N/A,N/A
118,1200602CU003,N/A,Box,N,12,Hubbard,Culvert,1,Concrete,7.04,N/A,14,100,MN64,No,0,0,0,14,14,1.166666667,-94.71918839,47.0201898,N,Concrete,Y,100,14,14,N/A,N/A,N/A
121,1200700CU001,N/A,Box,N,17,Hubbard,Culvert,1,Concrete,55.76,N/A,8,70,Hubbard County T608,No,0,0,0,14,14,0.823529412,-94.94921115,46.98606483,N,Concrete,Y,70,14,8,N/A,N/A,N/A
116,1201706CU001,N/A,Box,N,35,Hubbard,Culvert,1,Concrete,43.78,N/A,10,80,Hubbard County CSAH13,No,0,0,0,12,12,0.342857143,-94.83942089,46.93613672,N,Concrete,Y,80,12,10,N/A,N/A,N/A
238,1202600CU003,N/A,Box,N,25,Becker,Culvert,2,Concrete,148.6,N/A,7,70,Becker County CR152,Yes,0,0,0,20,10,0.4,-95.16951833,47.02854695,N,Concrete,Y,70,10,7,N/A,N/A,N/A
132,1203001CU002,N/A,Box,N,35,Becker,Culvert,1,Concrete,40.05,N/A,5,60,Becker County CR123,No,0,0,0,12,12,0.342857143,-95.24762839,46.90851121,N,Concrete,Y,60,12,5,N/A,N/A,N/A
233,1203001CU003,N/A,Box,N,28,Hubbard,Culvert,2,Concrete,58.93,N/A,10,100,US71,Yes,0,0,0,20,10,0.357142857,-95.06601247,46.87485531,N,Concrete,Y,100,10,10,N/A,N/A,N/A
133,1203001CU004,N/A,Box,N,35,Becker,Culvert,3,Concrete,42.81,N/A,4,70,Becker County CR125,No,0,0,0,30,10,0.285714286,-95.20462361,46.90410853,N,Concrete,Y,70,10,5,N/A,N/A,N/A
110,1203100CU001,N/A,Box,N,25,Hubbard,Culvert,2,Concrete,101.07,N/A,5,65,Becker County T87,No,0,0,0,24,12,0.48,-95.16250687,46.85094777,N,Concrete,Y,65,12,5,N/A,N/A,N/A
109,1203100CU002,N/A,Box,N,25,Hubbard,Culvert,2,Concrete,102.82,N/A,7,50,Hubbard County CR111,No,0,0,0,20,10,0.4,-95.14201139,46.84937431,N,Concrete,Y,50,10,7,N/A,N/A,N/A
130,1203100CU003,N/A,Box,N,18,Becker,Culvert,2,Concrete,85.61,N/A,5,45,Becker County CR123,No,0,0,0,24,12,0.666666667,-95.2469216,46.87958449,N,Concrete,Y,45,12,5,N/A,N/A,N/A
131,1203100CU004,N/A,Box,N,23,Becker,Culvert,2,Concrete,100.33,N/A,8,60,Becker County CSAH42,No,0,0,0,24,12,0.52173913,-95.19204589,46.86275938,N,Concrete,Y,60,12,8,N/A,N/A,N/A
107,1203100CU005,N/A,Box,N,25,Hubbard,Culvert,2,Concrete,110.35,N/A,9,125,US71,No,0,0,0,18,9,0.36,-95.10181074,46.80774259,N,Concrete,Y,125,9,9,N/A,N/A,N/A
260,1203100CU008,N/A,Box,N,24,Becker,Culvert,1,Concrete,76.51,N/A,6,70,MN34,Yes,0,0,0,8,8,0.333333333,-95.27785173,46.91899527,N,Concrete,Y,70,8,6,N/A,N/A,N/A
108,1203100CU009,N/A,Box,N,20,Hubbard,Culvert,2,Concrete,106.78,N/A,6,45,Hubbard County CR111,No,0,0,0,24,12,0.6,-95.12991702,46.81959957,N,Concrete,Y,45,12,6,N/A,N/A,N/A
164,1204500CU001,N/A,Box,N,10,Todd,Culvert,1,Concrete,8.53,N/A,5,75,Wadena County CSAH3,No,0,0,0,10,10,1,-94.77639008,46.36843171,N,Concrete,Y,64,16.5,6,0.28125,12.08,12.26
129,1206300CU001,N/A,Box,N,20.5,Becker,Culvert,1,Concrete,45.23,N/A,4,50,Becker County CSAH39,No,0,0,0,10,10,0.487804878,-95.41089332,46.94729589,N,Concrete,Y,50,10,4,N/A,N/A,N/A
250,1206800CU004,N/A,Box,N,12,Becker,Culvert,2,Concrete,19.49,N/A,4,45,Becker County T165,Yes,0,0,0,20,10,0.833333333,-95.288258,46.7446412,N,Concrete,Y,45,10,4,N/A,N/A,N/A
252,1206800CU006,N/A,Box,N,20,Becker,Culvert,2,Concrete,28.65,N/A,6,45,MN87,Yes,0,0,0,24,12,0.6,-95.22331986,46.74635382,N,Concrete,Y,45,12,6,N/A,N/A,N/A
171,1207800CU001,N/A,Box,N,10,Wadena,Culvert,2,Concrete,7.9,N/A,5,75,Wadena County CSAH12,No,0,0,0,16,8,0.8,-94.80107284,46.64452437,N,Concrete,Y,66,12,6.4,-0.378787879,13.25,13
202,1208601CU001,N/A,Box,N,20,Wadena,Culvert,2,Concrete,47.85,N/A,5,85,MN227,No,0,0,0,20,10,0.5,-94.93123132,46.63010244,N,Concrete,Y,80,2,2,N/A,N/A,N/A
328,1208800CU005,N/A,Box,N,16,Wadena,Culvert,2,Concrete,36.61,N/A,6,50,Wadena County T207,Yes,0,0,0,16,8,0.5,-94.99585512,46.66207094,N,Concrete,Y,105,6,6,N/A,N/A,N/A
104,1210600CU002,N/A,Box,N,,Crow Wing,Culvert,1,Concrete,37.87,N/A,0,145,MN371,No,0,0,0,,0,NA,-94.29937027,46.46502615,N,Concrete,Y,145,0,0,N/A,N/A,N/A
248,1214300CU001,N/A,Box,N,50,Hubbard,Culvert,2,Concrete,341.08,N/A,10,120,MN87,Yes,0,0,0,24,12,0.24,-95.02543941,46.86392625,N,Concrete,Y,120,12,10,N/A,N/A,N/A
160,1205100CU004,0.1,Box,N,18.5,Todd,Culvert,2,Concrete,14.85,11.67,5,70,Todd County T869,No,0,0,0,28,14,0.756756757,-95.02634573,46.34713275,Y,Corrugated Metal,N,30,5,5,N/A,N/A,N/A
161,1205100CU005,0.6,Box,N,13.9,Todd,Culvert,2,Concrete,15.06,10.49,5,56,Todd County T869,No,0,0,0,28,14,1.007194245,-95.02087187,46.34692324,Y,Corrugated Metal,N,40,2.5,2.5,-1.05,9.42,9
162,1204700CU005,2.8,Box,N,36.4,Todd,Culvert,3,Concrete,76.44,13.1,9,68,Todd County T181,No,0,0,0,39,13,0.357142857,-94.95703867,46.35333506,Y,Corrugated Metal,N,46,4,4,-0.543478261,9.52,9.27
461,1204500CU002,3.2,Box,N,12,Todd,Culvert,1,Concrete,7.23,11.56,4,150,US10,Yes,4,35,15,10,10,0.833333333,-94.77446568,46.35215995,Y,Corrugated Metal,N,30,4,4,1.233333333,9.03,9.4
405,1205000CU006,3.2,Box,N,11.2,Todd,Culvert,2,Concrete,18.42,9.24,5,74,Todd County CSAH23,Yes,4,15,40,20,10,0.892857143,-95.02920072,46.30151907,Y,Corrugated Metal,N,71,10,4,0.830985915,12.17,12.76
275,1202600CU002,N/A,Box,N,20,Becker,Culvert,2,Concrete,148.19,N/A,6,50,Becker County CSAH50,Yes,0,0,0,24,12,0.6,-95.18840788,47.02972821,Y,Corrugated Metal,N,45,4,4,N/A,N/A,N/A
264,1205700CU006,N/A,Box,N,20,Becker,Culvert,1,Concrete,69.14,N/A,4.5,150,Becker County CSAH44,Yes,0,0,0,4.5,4.5,0.225,-95.30005318,47.04167359,Y,Corrugated Metal,N,30,3,3,1.5,8.79,9.24
197,1208900CU003,N/A,Box,N,8,Wadena,Culvert,1,Concrete,1.8,N/A,5,85,US71,No,0,0,0,8,8,1,-95.10237134,46.69724903,Y,Corrugated Metal,N,45,4,4,N/A,N/A,N/A
153,1205000CU002,0.3,Box,N,17.8,Todd,Culvert,3,Concrete,38.21,10.27,5.8,68,Todd County T208,No,0,0,0,30,10,0.561797753,-95.00925016,46.34121607,N/A,N/A,N/A,150,,,N/A,N/A,N/A
159,1205100CU002,0.4,Box,N,14,Todd,Culvert,2,Concrete,14.24,11.81,5,57,Todd County T310,No,0,0,0,24,12,0.857142857,-95.03835537,46.3398527,N/A,N/A,N/A,30,,,N/A,N/A,N/A
475,1205100CU003,1.2,Box,N,11.9,Todd,Culvert,2,Concrete,14.53,11.29,5.5,76,Todd County CSAH23,Yes,2,40,30,30,15,1.260504202,-95.03002611,46.34691983,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
152,1205000CU001,1.5,Box,N,16.3,Todd,Culvert,2,Concrete,41.4,13.14,8,82,Todd County CR77,No,0,0,0,20,10,0.613496933,-94.98847736,46.34435544,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
158,1205100CU001,1.6,Box,N,11.9,Todd,Culvert,1,Concrete,13.82,12.85,6,100,MN210,No,0,0,0,12,12,1.008403361,-95.0427178,46.32530666,N/A,N/A,N/A,10,,,N/A,N/A,N/A
474,1205000CU007,1.7,Box,N,16,Todd,Culvert,2,Concrete,18.6,9.94,4,58,Todd County T227,Yes,2,40,40,28,14,0.875,-95.02620886,46.31068464,N/A,N/A,N/A,40,,,N/A,N/A,N/A
155,1205000CU004,2.3,Box,N,16,Todd,Culvert,2,Smooth_Metal_Pipe,18.98,9.37,5.1,45,MN210,No,0,0,0,19,9.5,0.59375,-95.025754,46.32519007,N/A,N/A,N/A,50,,,N/A,N/A,N/A
150,1204800CU013,2.7,Box,N,30.1,Todd,Culvert,3,Concrete,30.86,9.57,6,81,Todd County CR67,No,0,0,0,36,12,0.398671096,-94.96572056,46.33993588,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
148,1204800CU008,2.9,Box,N,19.8,Todd,Culvert,2,Concrete,21.48,9.28,6,64,Todd County T314,No,0,0,0,33,16.5,0.833333333,-94.98306599,46.31084815,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
154,1205000CU003,3.4,Box,N,25,Todd,Culvert,2,Concrete,22.66,8.54,5.5,76,Todd County T310,No,0,0,0,27,13.5,0.54,-95.01187958,46.33962629,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
146,1204800CU006,3.5,Box,N,16.4,Todd,Culvert,2,Concrete,17.53,11.84,8,83,Todd County CR77,No,0,0,0,24,12,0.731707317,-94.97414713,46.2817663,N/A,N/A,N/A,15,,,N/A,N/A,N/A
149,1204800CU009,4.6,Box,N,24.5,Todd,Culvert,2,Concrete,22.47,10.65,8,54,MN210,No,0,0,0,28,14,0.571428571,-94.9791525,46.32539185,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
433,1204800CU012,5,Box,N,22.7,Todd,Culvert,2,Concrete,18.16,7.73,5,70,Todd County CR76,Yes,5,20,10,26,13,0.572687225,-94.97537937,46.29632729,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A
145,1204800CU005,5.5,Box,N,16.4,Todd,Culvert,2,Concrete,16.9,11.98,8,94,Todd County CSAH24,No,0,0,0,28,14,0.853658537,-94.97861998,46.26682375,N/A,N/A,N/A,45,,,N/A,N/A,N/A
323,1203700CU002,N/A,Box,N,12,Wadena,Culvert,1,Concrete,15.65,N/A,8,80,Wadena County T87,Yes,0,0,0,8,8,0.666666667,-95.1020592,46.67297658,N/A,N/A,N/A,30,,,N/A,N/A,N/A
173,1207600CU003,N/A,Box,N,11,Wadena,Culvert,1,Concrete,7.87,N/A,6,75,Wadena County CSAH12,No,0,0,0,10,10,0.909090909,-94.8322731,46.64459367,N/A,N/A,N/A,20,,,N/A,N/A,N/A
201,1208800CU002,N/A,Box,N,16,Wadena,Culvert,1,Concrete,44.47,N/A,6,40,Wadena County T198,No,0,0,0,16,16,1,-94.95387587,46.63407479,N/A,N/A,N/A,40,,,N/A,N/A,N/A
176,1209400CU003,N/A,Box,N,21.5,Wadena,Culvert,2,Concrete,62.17,N/A,6,45,Wadena County T95,No,0,0,0,20,10,0.465116279,-94.82859592,46.68787326,N/A,N/A,N/A,35,,,N/A,N/A,N/A
128,1206300CU002,0,Circular,Y,5,Becker,Culvert,1,Concrete,4.91,11.01,2.6,75,Becker County CSAH37,No,0,0,0,2.6,2.6,0.52,-95.47729147,46.95475353,N,Concrete,Y,75,2.6,2.6,-0.2,11.47,11.32
44,1211900CU001,0,Circular,Y,2,Cass,Culvert,1,Concrete,0.32,N/A,2,63,MN64,No,0,0,0,2,2,1,-94.69716821,46.61060389,N,Concrete,Y,63,2,2,0.412698413,9.48,9.74
370,1211600CU005,0.1,Circular,Y,7.3,Cass,Culvert,1,Concrete,2.61,13.32,5,100,Cass County CSAH24,Yes,0,10,20,5,5,0.684931507,-94.65851879,46.57211694,N,Concrete,Y,100,5,5,1.02,13.71,14.73
138,1202700CU004,0.3,Circular,Y,5.3,Becker,Culvert,1,Corrugated Metal Pipe,1.71,7.25,1.7,25,,No,0,0,0,1.7,1.7,0.320754717,-95.21494408,47.01546319,N,Concrete,Y,50,12,6,N/A,N/A,N/A
87,1210600CU004,0.3,Circular,Y,3,Cass,Culvert,2,Concrete,0.05,9.63,2,100,Cass County CSAH77,No,0,0,0,4,2,0.666666667,-94.36579963,46.477955,N,Concrete,Y,100,2,2,0.84,9.78,10.62
41,1211500CU001,0.4,Circular,Y,4,Cass,Culvert,1,Concrete,1.24,9.74,3,93,Cass County CR109,No,0,0,0,3,3,0.75,-94.65517827,46.55228149,N,Concrete,Y,93,3,3,-0.086021505,10.27,10.19
163,1204400CU002,0.5,Circular,Y,11.5,Todd,Culvert,1,Corrugated Metal Pipe,3.61,18.03,4,50,Todd County T27,No,0,0,0,4,4,0.347826087,-94.73258907,46.3555167,N,Concrete,Y,70,13,5,-0.9,13.2,12.65
165,1204501CU005,2,Circular,Y,11.1,Todd,Culvert,1,Corrugated Metal Pipe,3.67,9.61,4,60,Todd County CSAH7,No,0,0,0,4,4,0.36036036,-94.78249292,46.33278387,N,Concrete,Y,54,14,8,-5.1333,N/A,N/A
143,1204800CU001,2.1,Circular,Y,10,Todd,Culvert,1,Smooth_Metal_Pipe,6.6,9.64,6.5,26,Todd County T352,No,0,0,0,6.5,6.5,0.65,-94.98745471,46.21442402,N,Concrete,Y,73,11.7,3.8,1.109589041,11.42,12.23
406,1204400CU001,2.4,Circular,Y,8.1,Todd,Culvert,1,Corrugated Metal Pipe,1.44,12.04,4,90,Todd County CR83,Yes,2,15,15,4,4,0.49382716,-94.74832276,46.35754996,N,Concrete,Y,83,12,8,0.0778,15.29,15.34
113,1201200CU001,N/A,Circular,Y,11.8,Hubbard,Culvert,1,Concrete,6.95,N/A,6,55,Hubbard County CR89,No,0,0,0,6,6,0.508474576,-95.10915499,47.08306208,N,Concrete,Y,55,6,6,N/A,N/A,N/A
241,1201700CU002,N/A,Circular,Y,15,Hubbard,Culvert,1,Concrete,1.58,N/A,4,55,Hubbard County T108,Yes,0,0,0,4,4,0.266666667,-94.9109726,46.92216914,N,Concrete,Y,55,4,4,N/A,N/A,N/A
123,1202300CU002,N/A,Circular,Y,8,Hubbard,Culvert,1,Concrete,5.09,N/A,3,125,MN34,No,0,0,0,3,3,0.375,-94.99434303,46.9299277,N,Concrete,Y,125,3,3,N/A,N/A,N/A
140,1203100CU014,N/A,Circular,Y,5,Becker,Culvert,1,Corrugated Metal Pipe,2.16,N/A,4,45,Becker County CSAH47,No,0,0,0,4,4,0.8,-95.26825183,46.88426794,N,Concrete,Y,40,12,7,N/A,N/A,N/A
272,1203400CU003,N/A,Circular,Y,30,Becker,Culvert,1,Corrugated Metal Pipe,22.21,N/A,4,100,Becker County CSAH44,Yes,0,0,0,4,4,0.133333333,-95.19404087,47.05081409,N,Concrete,Y,65,11,4,N/A,N/A,N/A
322,1203700CU001,N/A,Circular,Y,12,Wadena,Culvert,2,Corrugated Metal Pipe,18.6,N/A,4,30,Wadena County T88,Yes,0,0,0,5.5,4,0.333333333,-95.07964963,46.67584235,N,Concrete,Y,40,8,6,N/A,N/A,N/A
169,1204600CU002,N/A,Circular,Y,4,Wadena,Culvert,1,Concrete,0.22,N/A,4,40,Todd County T873,No,0,0,0,4,4,1,-94.85491318,46.36999439,N,Concrete,Y,86,11,6,0.197674419,18.61,18.78
288,1204600CU003,N/A,Circular,Y,10,Wadena,Culvert,1,Corrugated Metal Pipe,5.89,N/A,4,50,Wadena County T16,Yes,0,0,0,4,4,0.4,-94.82789866,46.41204934,N,Concrete,Y,75,10,5,N/A,N/A,N/A
179,1207300CU004,N/A,Circular,Y,8,Wadena,Culvert,1,Corrugated Metal Pipe,1.83,N/A,4,50,Wadena County CSAH19,No,0,0,0,4,4,0.5,-94.813617,46.76279592,N,Concrete,Y,80,12,8,N/A,N/A,N/A
307,1207300CU006,N/A,Circular,Y,6,Wadena,Culvert,1,Corrugated Metal Pipe,1.48,N/A,3,35,Wadena County T396,Yes,0,0,0,3,3,0.5,-94.80274467,46.74615507,N,Concrete,Y,65,12,8,N/A,N/A,N/A
180,1207300CU009,N/A,Circular,Y,7.1,Wadena,Culvert,1,Corrugated Metal Pipe,3.09,N/A,4,25,Wadena County T106,No,0,0,0,4,4,0.563380282,-94.81950592,46.73549884,N,Concrete,Y,90,6,4,N/A,N/A,N/A
294,1207700CU001,N/A,Circular,Y,7,Wadena,Culvert,1,Corrugated Metal Pipe,8.77,N/A,5,60,Wadena County T161,Yes,0,0,0,5,5,0.714285714,-94.80691364,46.65169892,N,Concrete,Y,72,14,6,1.111111111,13.09,13.89
293,1208100CU003,N/A,Circular,Y,8,Cass,Culvert,1,Corrugated Metal Pipe,18.87,N/A,6,50,Wadena County CSAH7,Yes,0,0,0,6,6,0.75,-94.77987686,46.58808448,N,Concrete,Y,84.5,12,5.5,0.449704142,13.95,14.33
198,1208900CU002,N/A,Circular,Y,8,Wadena,Culvert,2,Corrugated Metal Pipe,4.49,N/A,3,40,Wadena County T103,No,0,0,0,6,3,0.375,-95.0799816,46.6969179,N,Concrete,Y,110,12,8,N/A,N/A,N/A
196,1208900CU004,N/A,Circular,Y,8,Wadena,Culvert,1,Corrugated Metal Pipe,1.16,N/A,3,45,Wadena County CR146,No,0,0,0,3,3,0.375,-95.11443994,46.7031667,N,Concrete,Y,80,8,5,N/A,N/A,N/A
316,1208900CU005,N/A,Circular,Y,12,Wadena,Culvert,1,Corrugated Metal Pipe,5.78,N/A,6,45,Wadena County CSAH13,Yes,0,0,0,6,6,0.5,-95.05036096,46.69524532,N,Concrete,Y,60,12,8,N/A,N/A,N/A
184,1209100BR001,N/A,Circular,Y,6,Wadena,Culvert,1,Concrete,25.12,N/A,4,50,Wadena County T111,No,0,0,0,4,4,0.666666667,-94.95384155,46.70953833,N,Concrete,Y,90,4,4,N/A,N/A,N/A
312,1209100CU001,N/A,Circular,Y,4,Wadena,Culvert,1,Concrete,2.19,N/A,2,80,Wadena County CSAH15,Yes,0,0,0,2,2,0.5,-94.95119659,46.71775868,N,Concrete,Y,75,8,5,N/A,N/A,N/A
335,1209100CU002,N/A,Circular,Y,10,Wadena,Culvert,1,Corrugated Metal Pipe,0.34,N/A,2,50,Wadena County CR150,Yes,0,0,0,2,2,0.2,-94.95400856,46.7224904,N,Concrete,Y,59,4.5,4.5,0.237288136,11,11.14
304,1209200CU001,N/A,Circular,Y,10.5,Wadena,Culvert,2,Corrugated Metal Pipe,9.88,N/A,4,45,Wadena County T73,Yes,0,0,0,8,4,0.380952381,-94.8891363,46.65189336,N,Concrete,Y,55,12.5,8,N/A,N/A,N/A
314,1209700CU003,N/A,Circular,Y,8,Wadena,Culvert,1,,6.04,N/A,2.5,40,Wadena County CR150,Yes,0,0,0,2.5,2.5,0.3125,-94.99629945,46.7509001,N,Concrete,Y,45,8,5,N/A,N/A,N/A
226,1211600CU001,N/A,Circular,Y,6,Cass,Culvert,1,Concrete,1.14,N/A,4,85,Cass County CSAH24,Yes,0,0,0,4,4,0.666666667,-94.66909816,46.57207445,N,Concrete,Y,85,4,4,N/A,N/A,N/A
3,1204103CU001,0,Circular,Y,5.4,Cass,Culvert,1,Corrugated Metal Pipe,1.38,8.53,3,60,Cass County T877,No,0,0,0,3,3,0.555555556,-94.55608666,46.32597006,Y,Corrugated Metal,N,60,3,3,0.3167,8.67,8.86
56,1207800CU005,0,Circular,Y,4,Cass,Culvert,1,Corrugated Metal Pipe,0.04,N/A,4,75,MN64,No,0,0,0,4,4,1,-94.7022134,46.6876307,Y,Corrugated Metal,N,75,4,4,0.026666667,10.29,10.31
55,1208100CU007,0,Circular,Y,4,Cass,Culvert,1,Corrugated Metal Pipe,0.04,N/A,4,41,MN64,No,0,0,0,4,4,1,-94.70199989,46.6877249,Y,Corrugated Metal,N,41,4,4,0.561,10.28,10.51
13,1210200CU005,0,Circular,Y,10,Cass,Culvert,2,Corrugated Metal Pipe,5.71,8.65,3,40,Cass County T29,No,0,0,0,6,3,0.3,-94.56850649,46.4128023,Y,Corrugated Metal,N,40,3,3,0.325,8.57,8.7
94,1210700CU001,0,Circular,Y,8,Cass,Culvert,1,Corrugated Metal Pipe,1.55,N/A,4,33,Lake Shore M3,No,0,0,0,4,4,0.5,-94.376441,46.50007746,Y,Corrugated Metal,N,33,4,4,0.6667,8.72,8.94
86,1210700CU002,0,Circular,Y,7.2,Cass,Culvert,1,Corrugated Metal Pipe,1.83,N/A,4,60,Cass County CR107,No,0,0,0,4,4,0.555555556,-94.37240558,46.4942946,Y,Corrugated Metal,N,60,4,4,0.1167,10.48,10.55
23,1211100CU008,0,Circular,Y,3,Cass,Culvert,1,Corrugated Metal Pipe,0.04,N/A,3.2,31,Cass County T55,No,0,0,0,3.2,3.2,1.066666667,-94.61807188,46.48540625,Y,Corrugated Metal,N,31,3.2,3.2,-0.35483871,9.22,9.11
45,1211900CU002,0,Circular,Y,1,Cass,Culvert,1,Corrugated Metal Pipe,0.04,N/A,3.3,40,Cass County T87,No,0,0,0,3.3,3.3,3.3,-94.70742494,46.60115613,Y,Corrugated Metal,N,40,3.3,3.3,-0.325,9.42,9.29
79,1212000CU009,0,Circular,Y,2.5,Cass,Culvert,1,Corrugated Metal Pipe,0.32,N/A,2.5,90,Cass County CSAH28,No,0,0,0,2.5,2.5,1,-94.48222277,46.63139416,Y,Corrugated Metal,N,90,2.5,2.5,0.211111111,12.23,12.42
80,1212000CU010,0,Circular,Y,2.5,Cass,Culvert,1,Corrugated Metal Pipe,0.08,N/A,2.5,100,Cass County CSAH28,No,0,0,0,2.5,2.5,1,-94.49128425,46.6313945,Y,Corrugated Metal,N,100,2.5,2.5,0.34,9.21,9.55
90,1212500CU006,0,Circular,Y,7.1,Cass,Culvert,1,Corrugated Metal Pipe,1.66,10.23,4,40,Cass County CR108,No,0,0,0,4,4,0.563380282,-94.4558562,46.52896266,Y,Corrugated Metal,N,40,4,4,-0.325,10.23,10.1
